"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 10:47:34 CST 2022","Sun Jun 26 10:47:46 CST 2022","12123","project.DRP.test_case","SystemMgmt_UserMgmt","TestSearchUser","","","重置用户查询条件","在输入框输入用户工号或名称，然后重置清除"
"passed","Sun Jun 26 10:47:46 CST 2022","Sun Jun 26 10:47:50 CST 2022","3997","project.DRP.test_case","SystemMgmt_UserMgmt","TestAppendUser","","","根据姓名查询用户并添加","查询工号为18650893，并添加该用户到系统"
"passed","Sun Jun 26 10:46:41 CST 2022","Sun Jun 26 10:47:06 CST 2022","25683","project.DRP.test_case","SystemMgmt_RegionMgmt","TestSearchArea","","","前往四级菜单","前往四级菜单‘itel事业部‘"
"passed","Sun Jun 26 10:47:06 CST 2022","Sun Jun 26 10:47:23 CST 2022","16613","project.DRP.test_case","SystemMgmt_RegionMgmt","TestExportArea","","","导出区域数据","导出区域数据‘itel事业部’"
"passed","Sun Jun 26 10:46:19 CST 2022","Sun Jun 26 10:46:41 CST 2022","21774","project.DRP.test_case","SystemMgmt_RegionMgmt","TestSearchArea","","","前往三级菜单","前往三级菜单‘itel事业部‘"
"passed","Sun Jun 26 10:45:26 CST 2022","Sun Jun 26 10:46:01 CST 2022","35377","project.DRP.test_case","SystemMgmt_RegionMgmt","TestSearchArea","","","前往主菜单","前往主菜单‘itel事业部‘"
"passed","Sun Jun 26 10:47:23 CST 2022","Sun Jun 26 10:47:34 CST 2022","11197","project.DRP.test_case","SystemMgmt_UserMgmt","TestSearchUser","","","根据姓名查询用户","在输入框输入用户工号'18650617'，进行查询"
"passed","Sun Jun 26 10:46:01 CST 2022","Sun Jun 26 10:46:19 CST 2022","17654","project.DRP.test_case","SystemMgmt_RegionMgmt","TestSearchArea","","","前往二级菜单","前往二级菜单‘itel事业部‘"
"passed","Sun Jun 26 10:47:50 CST 2022","Sun Jun 26 10:47:57 CST 2022","6562","project.DRP.test_case","SystemMgmt_UserMgmt","TestEditUser","","","查找到指定用户并配置菜单权限","更新工号为18650893的用户添加组织权限为‘itel事业部’和‘东非地区部‘"
