[2022-07-11 16:25:57] [    INFO] 前置条件：传音统一登录开始 (conftest.py:14)
[2022-07-11 16:26:02] [    INFO] 打开网页：http://10.250.112.166:9000/# (basics.py:55)
[2022-07-11 16:26:02] [    INFO] 查找元素：('xpath', "//div[@role='button']") (basics.py:70)
[2022-07-11 16:26:03] [    INFO] 点击元素：('xpath', "//div[@role='button']") (basics.py:145)
[2022-07-11 16:26:07] [    INFO] 查找元素：['xpath', "//*[contains(@id,'dropdown-menu-')]//li[1]"] (basics.py:70)
[2022-07-11 16:26:08] [    INFO] 查找元素：('xpath', "//div[@role='button']") (basics.py:70)
[2022-07-11 16:26:08] [    INFO] 点击元素：('xpath', "//div[@role='button']") (basics.py:145)
[2022-07-11 16:26:09] [    INFO] 查找元素：('id', 'tab-account') (basics.py:70)
[2022-07-11 16:26:09] [    INFO] 点击元素：('id', 'tab-account') (basics.py:145)
[2022-07-11 16:26:10] [    INFO] 查找元素：('xpath', "//*[@id='pane-account']/form/div[1]/div/div[1]/input") (basics.py:70)
[2022-07-11 16:26:10] [    INFO] 输入文本：18650617 (basics.py:92)
[2022-07-11 16:26:11] [    INFO] 查找元素：('xpath', "//*[@id='pane-account']/form/div[2]/div/div[1]/input") (basics.py:70)
[2022-07-11 16:26:12] [    INFO] 输入文本：xLily6x (basics.py:92)
[2022-07-11 16:26:13] [    INFO] 查找元素：('xpath', "//*[@id='pane-account']/form/div[4]/label/span/span") (basics.py:70)
[2022-07-11 16:26:13] [    INFO] 获取状态：False (basics.py:249)
[2022-07-11 16:26:13] [    INFO] 查找元素：('xpath', "//*[@id='pane-account']/form/div[4]/label/span/span") (basics.py:70)
[2022-07-11 16:26:13] [    INFO] 点击元素：('xpath', "//*[@id='pane-account']/form/div[4]/label/span/span") (basics.py:145)
[2022-07-11 16:26:13] [    INFO] 查找元素：('xpath', "//*[@id='pane-account']/form/button") (basics.py:70)
[2022-07-11 16:26:13] [    INFO] 点击元素：('xpath', "//*[@id='pane-account']/form/button") (basics.py:145)
[2022-07-11 16:26:18] [    INFO] 断言成功：URL为预期一致 | URL: http://10.250.112.166:9000/#/dashboard (assert_ui.py:190)
[2022-07-11 16:26:18] [    INFO] 断言成功: 该内容存在数据列表中 | word:刘勇 (assert_ui.py:294)
[2022-07-11 16:26:18] [    INFO] 前置条件：传音统一登录成功 (conftest.py:21)
[2022-07-11 16:26:18] [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:70)
[2022-07-11 16:26:19] [    INFO] 点击元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:145)
[2022-07-11 16:26:19] [    INFO] 查找元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:70)
[2022-07-11 16:26:19] [    INFO] 点击元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:145)
[2022-07-11 16:26:22] [    INFO] 断言成功：URL为预期一致 | URL: http://10.250.112.166:9000/#/systemManage/areaManage (assert_ui.py:190)
[2022-07-11 16:26:24] [    INFO] 查找元素：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:70)
[2022-07-11 16:26:24] [    INFO] 选择点击：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:142)
[2022-07-11 16:26:28] [    INFO] 查找元素：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='itel事业部']"] (basics.py:70)
[2022-07-11 16:26:28] [    INFO] 选择点击：['xpath', "//div[@tabindex='0']//span[normalize-space(text())='itel事业部']"] (basics.py:142)
[2022-07-11 16:26:30] [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:70)
[2022-07-11 16:26:30] [    INFO] 点击元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:145)
