[2022-07-27 12:55:05] [    INFO] 【SRM】项目【test】环境- UI自动化开始执行 (conftest.py:17)
[2022-07-27 12:55:06] [    INFO] 查找元素：('xpath', '//input[@id="elsAccount"]') (basics.py:107)
[2022-07-27 12:55:07] [    INFO] 输入文本：860000 (basics.py:138)
[2022-07-27 12:55:07] [    INFO] 查找元素：('xpath', '//input[@id="elsSubAccount"]') (basics.py:107)
[2022-07-27 12:55:07] [    INFO] 输入文本：1001 (basics.py:138)
[2022-07-27 12:55:08] [    INFO] 查找元素：('xpath', '//input[@type="password"]') (basics.py:107)
[2022-07-27 12:55:08] [    INFO] 输入文本：1qaz@WSX (basics.py:138)
[2022-07-27 12:55:08] [    INFO] 查找元素：('xpath', '//input[@id="identifyCode"]') (basics.py:107)
[2022-07-27 12:55:08] [    INFO] 点击元素：('xpath', '//input[@id="identifyCode"]') (basics.py:191)
[2022-07-27 12:55:12] [    INFO] 查找元素：('xpath', '//img[@id="code"]') (basics.py:107)
[2022-07-27 12:55:13] [    INFO] 查找元素：('xpath', '//input[@id="identifyCode"]') (basics.py:107)
[2022-07-27 12:55:13] [    INFO] 输入文本：5835 (basics.py:138)
[2022-07-27 12:55:13] [    INFO] 查找元素：('xpath', '//button[@id="submit_btn"]') (basics.py:107)
[2022-07-27 12:55:13] [    INFO] 点击元素：('xpath', '//button[@id="submit_btn"]') (basics.py:191)
[2022-07-27 12:55:14] [    INFO] 查找元素：('xpath', '//span[@title="审批列表"]') (basics.py:107)
[2022-07-27 12:55:15] [    INFO] 点击元素：('xpath', '//span[@title="审批列表"]') (basics.py:191)
[2022-07-27 12:55:15] [    INFO] 查找元素：('xpath', '//div[@id="pq-body-cell-u0-0-2-right"]/span') (basics.py:107)
[2022-07-27 12:55:36] [    INFO] 查找元素：('xpath', '//input[@name="taskName"]') (basics.py:107)
