RepairMgt_WoReportMgt_WoSerializedReport
RepairMgt_WoReportMgt_WoNonSerializedReport
RepairMgt_WOSerializedMgt_WOSerializedList
RepairMgt_WOSerializedMgt_AssignWO ToTechnician
RepairMgt_WOSerializedMgt_AssignSpareToWO
RepairMgt_WOSerializedMgt_ReturnSpareFromTechnician
RepairMgt_WOSerializedMgt_SerializedRepair

